装备ID,可用职业,可装孔位,孔位类型,进化词条数量,进化词条库随机概率,随机基础属性,附加属性词条数量,附加属性词条库随机概率,隐藏属性词条数量,隐藏属性词条库随机概率,耐久度,装备后存在总时间,宠物受伤减免,致命加成,创建条数与权重,固定卓越词条,能否镶宝,强化特效,是否携带技能,是否携带buff,是否有变身效果,装备修理费,装备评分,套装编号,装备追加最高等级上限,成长所需材料,场景中是否显示模型,自动回收/分解,自动购买箭矢,原地复活,回收江湖币变成非绑定,每日无损复活次数,土灵符存储坐标数,宠物自动喂养,开启宝石仓库,增加经验试炼副本次数,开启装备更换方案,扩展背包格子数,扩展仓库格子数,几阶装备,装备是否可以叠加,装备叠加上限,是否掉落,价格,标记,称号档位,attribute,disableAttribute
1001050104,615,4,1,,,,,,,,-9999,-9999,,,,,,,,,,1,195,,,,1,,,,,,,,,,,,,1,,,,,,,{"maximumPhysBaseDmg":950#"holyDamage":675#"minimumPhysBaseDmg":920#"holyChance":250#"attackRatePvm":500},{}
1001050105,615,4,1,,,,,,,,-9999,-9999,,,,,,,,,,1,200,,,,1,,,,,,,,,,,,,1,,,,,,,{"maximumPhysBaseDmg":1298#"holyDamage":750#"minimumPhysBaseDmg":1286#"holyChance":250#"attackRatePvm":650},{}
1001050106,625,4,1,,,,,,,,-9999,-9999,,,,,,,,,,1,190,,,,1,,,,,,,,,,,,,1,,,,,,,{"maximumPhysBaseDmg":618#"holyDamage":600#"minimumPhysBaseDmg":568#"holyChance":250#"attackRatePvm":350},{}
1001050107,625,4,1,,,,,,,,-9999,-9999,,,,,,,,,,1,195,,,,1,,,,,,,,,,,,,1,,,,,,,{"maximumPhysBaseDmg":950#"holyDamage":675#"minimumPhysBaseDmg":920#"holyChance":250#"attackRatePvm":500},{}
1001050108,625,4,1,,,,,,,,-9999,-9999,,,,,,,,,,1,200,,,,1,,,,,,,,,,,,,1,,,,,,,{"maximumPhysBaseDmg":1298#"holyDamage":750#"minimumPhysBaseDmg":1286#"holyChance":250#"attackRatePvm":650},{}
1001050109,515#615,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,62,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":448#"holyDamage":375#"minimumPhysBaseDmg":418#"holyChance":250#"attackRatePvm":200},{}
1001050110,615,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,78,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":536#"holyDamage":525#"minimumPhysBaseDmg":506#"holyChance":250#"attackRatePvm":300},{}
1001050111,615,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":688#"holyDamage":600#"minimumPhysBaseDmg":638#"holyChance":250#"attackRatePvm":350},{}
1001050112,615,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,199,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1020#"holyDamage":675#"minimumPhysBaseDmg":990#"holyChance":250#"attackRatePvm":500},{}
1001050113,615,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,204,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1368#"holyDamage":750#"minimumPhysBaseDmg":1356#"holyChance":250#"attackRatePvm":650},{}
1001050114,525#625,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,62,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":448#"holyDamage":375#"minimumPhysBaseDmg":418#"holyChance":250#"attackRatePvm":200},{}
1001050115,625,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,78,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":536#"holyDamage":525#"minimumPhysBaseDmg":506#"holyChance":250#"attackRatePvm":300},{}
1001050116,625,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":688#"holyDamage":600#"minimumPhysBaseDmg":638#"holyChance":250#"attackRatePvm":350},{}
1001050117,625,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,199,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1020#"holyDamage":675#"minimumPhysBaseDmg":990#"holyChance":250#"attackRatePvm":500},{}
1001050118,625,4,1,0#1&1#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,204,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1368#"holyDamage":750#"minimumPhysBaseDmg":1356#"holyChance":250#"attackRatePvm":650},{}
1001050119,515#615,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,62,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":448#"holyDamage":375#"minimumPhysBaseDmg":418#"holyChance":250#"attackRatePvm":200},{}
1001050120,615,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,78,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":536#"holyDamage":525#"minimumPhysBaseDmg":506#"holyChance":250#"attackRatePvm":300},{}
1001050121,615,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":688#"holyDamage":600#"minimumPhysBaseDmg":638#"holyChance":250#"attackRatePvm":350},{}
1001050122,615,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,199,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1020#"holyDamage":675#"minimumPhysBaseDmg":990#"holyChance":250#"attackRatePvm":500},{}
1001050123,615,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,204,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1368#"holyDamage":750#"minimumPhysBaseDmg":1356#"holyChance":250#"attackRatePvm":650},{}
1001050124,525#625,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,62,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":448#"holyDamage":375#"minimumPhysBaseDmg":418#"holyChance":250#"attackRatePvm":200},{}
1001050125,625,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,78,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":536#"holyDamage":525#"minimumPhysBaseDmg":506#"holyChance":250#"attackRatePvm":300},{}
1001050126,625,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":688#"holyDamage":600#"minimumPhysBaseDmg":638#"holyChance":250#"attackRatePvm":350},{}
1001050127,625,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,199,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1020#"holyDamage":675#"minimumPhysBaseDmg":990#"holyChance":250#"attackRatePvm":500},{}
1001050128,625,4,1,1#1&2#1,1#1&2#1&3#1&4#1&5#1&6#1&7#1&8#1&9#1&10#1,,,,,,-9999,-9999,,,,,,,,,,1,204,,,,1,,,,,,,,,,,,,8,,,,,,,{"maximumPhysBaseDmg":1368#"holyDamage":750#"minimumPhysBaseDmg":1356#"holyChance":250#"attackRatePvm":650},{}
1014011000,101#201#311#321#411#421#511#521#611#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,22,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":56},{}
1014011001,101#201#311#321#411#421#511#521#611#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":22},{}
1014011002,101#201#311#321#411#421#511#521#611#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,5,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":30},{}
1014011003,101#201#311#321#411#421#511#521#611#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,9,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":34},{}
1014011004,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,22,,,,1,,,,,,,,,,,,,5,,,,,,,{"defenseBase":56},{}
1014011005,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,31,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":70},{}
1014011006,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,51,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":92},{}
1014011007,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,71,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":108},{}
1014011008,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,91,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":136},{}
1014011009,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,111,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":160},{}
1014011010,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,131,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":198},{}
1014011011,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,22,,,,1,,,,,,,,,,,,,5,,,,,,,{"defenseBase":56},{}
1014011012,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,32,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":70},{}
1014011013,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,52,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":92},{}
1014011014,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,72,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":108},{}
1014011015,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,92,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":136},{}
1014011016,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,112,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":160},{}
1014011017,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,132,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":198},{}
1014011018,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,35,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":73},{}
1014011019,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,59,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":95},{}
1014011020,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,75,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":112},{}
1014011021,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,95,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":137},{}
1014011022,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,115,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":175},{}
1014011023,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,36,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":73},{}
1014011024,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,60,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":95},{}
1014011025,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,76,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":112},{}
1014011026,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,96,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":137},{}
1014011027,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,116,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":175},{}
1014011028,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,13,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":42},{}
1014011029,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,23,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":57},{}
1014011030,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,39,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":75},{}
1014011031,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,55,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":93},{}
1014011032,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,79,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":120},{}
1014011033,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,99,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":145},{}
1014011034,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,119,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":183},{}
1014011035,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,14,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":42},{}
1014011036,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,24,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":57},{}
1014011037,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,40,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":75},{}
1014011038,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,56,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":93},{}
1014011039,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,80,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":120},{}
1014011040,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,100,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":145},{}
1014011041,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,120,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":183},{}
1014011042,101#201#311#321#411#421#511#521#611#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,3,,,,1,,,,,,,,,,,,,4,,,,,,,{"defenseBase":24},{}
1014011043,101#201#311#321#411#421#511#521#611#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,7,,,,1,,,,,,,,,,,,,4,,,,,,,{"defenseBase":32},{}
1014011044,101#201#311#321#411#421#511#521#611#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,11,,,,1,,,,,,,,,,,,,4,,,,,,,{"defenseBase":40},{}
1014011045,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,27,,,,1,,,,,,,,,,,,,5,,,,,,,{"defenseBase":63},{}
1014011046,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,43,,,,1,,,,,,,,,,,,,5,,,,,,,{"defenseBase":84},{}
1014011047,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,63,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":101},{}
1014011048,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,83,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":128},{}
1014011049,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,103,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":153},{}
1014011050,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,123,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":191},{}
1014011051,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,28,,,,1,,,,,,,,,,,,,5,,,,,,,{"defenseBase":63},{}
1014011052,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,44,,,,1,,,,,,,,,,,,,5,,,,,,,{"defenseBase":84},{}
1014011053,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,64,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":101},{}
1014011054,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,84,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":128},{}
1014011055,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,104,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":153},{}
1014011056,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,124,,,,1,,,,,,,,,,,,,6,,,,,,,{"defenseBase":191},{}
1014011057,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,47,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":87},{}
1014011058,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,67,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":103},{}
1014011059,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,87,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":131},{}
1014011060,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,107,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":155},{}
1014011061,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,127,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":193},{}
1014011062,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,48,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":87},{}
1014011063,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,68,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":103},{}
1014011064,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,88,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":131},{}
1014011065,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,108,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":155},{}
1014011066,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,128,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":193},{}
1014011067,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":230},{}
1014011068,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,199,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":264},{}
1014011069,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,204,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":296},{}
1014011070,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":230},{}
1014011071,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,199,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":264},{}
1014011072,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,204,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":296},{}
1014011073,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,193,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":220},{}
1014011074,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,198,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":254},{}
1014011075,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,203,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":286},{}
1014011076,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,193,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":220},{}
1014011077,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,198,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":254},{}
1014011078,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,203,,,,1,,,,,,,,,,,,,7,,,,,,,{"defenseBase":286},{}
1014011079,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,192,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":215},{}
1014011080,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,197,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":249},{}
1014011081,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,202,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":281},{}
1014011082,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,192,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":215},{}
1014011083,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,197,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":249},{}
1014011084,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,202,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":281},{}
1014011085,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,191,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":210},{}
1014011086,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,196,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":244},{}
1014011087,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,201,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":276},{}
1014011088,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,191,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":210},{}
1014011089,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,196,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":244},{}
1014011090,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,201,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":276},{}
1014011091,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,190,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":205},{}
1014011092,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,195,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":239},{}
1014011093,311#411#511#611,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,200,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":271},{}
1014011094,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,190,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":205},{}
1014011095,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,195,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":239},{}
1014011096,321#421#521#621,6,1,,,,,,,,-9999,-9999,,,,,,,,,,1,200,,,,1,,,,,,,,,,,,,1,,,,,,,{"defenseBase":271},{}
1014011097,311#411#511#611,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,91,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":136},{}
1014011098,311#411#511#611,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,111,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":160},{}
1014011099,311#411#511#611,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,131,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":198},{}
1014011100,311#411#511#611,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":230},{}
1014011101,311#411#511#611,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,199,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":264},{}
1014011102,311#411#511#611,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,204,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":296},{}
1014011103,321#421#521#621,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,92,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":136},{}
1014011104,321#421#521#621,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,112,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":160},{}
1014011105,321#421#521#621,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,132,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":198},{}
1014011106,321#421#521#621,6,1,0#1&1#1,11#1&12#1&13#1&14#1&15#1&16#1&17#1&18#1&19#1&20#1,,,,,,-9999,-9999,,,,,,,,,,1,194,,,,1,,,,,,,,,,,,,8,,,,,,,{"defenseBase":230},{}
