BUFFid,BUFF名称,BUFF类型,BUFF子类型,BUFF参数,BUFF参数2,BUFF参数3,触发时机,首次执行延迟,执行间隔,消除类型,执行对象,是否可共存,优先级,持续时间参数,BUFF属性,buff群,该buff无法覆盖,BUFF属性组,buff描述,进试炼塔是否清除该buff,buff伤害是否独立飘数字,buff效果文字飘字,战力值
201640002,一招杀神,17,1722,,201640052,,0,0,0,13,5,201640001,2,,,,,{"moveSpeed_mul":0},,,,,
201640003,一招杀神,17,1722,,201640053,,0,0,0,13,5,201640001,3,,,,,{"moveSpeed_mul":0},,,,,
201640004,一招杀神,17,1722,,201640054,,0,0,0,13,5,201640001,4,,,,,{"moveSpeed_mul":0},,,,,
201640005,一招杀神,17,1722,,201640055,,0,0,0,13,5,201640001,5,,,,,{"moveSpeed_mul":0},,,,,
201640006,一招杀神,17,1722,,201640056,,0,0,0,13,5,201640001,6,,,,,{"moveSpeed_mul":0},,,,,
201640007,一招杀神,17,1722,,201640057,,0,0,0,13,5,201640001,7,,,,,{"moveSpeed_mul":0},,,,,
201640008,一招杀神,17,1722,,201640058,,0,0,0,13,5,201640001,8,,,,,{"moveSpeed_mul":0},,,,,
201640009,一招杀神,17,1722,,201640059,,0,0,0,13,5,201640001,9,,,,,{"moveSpeed_mul":0},,,,,
201640010,一招杀神,17,1722,,201640060,,0,0,0,13,5,201640001,10,,,,,{"moveSpeed_mul":0},,,,,
201640011,一招杀神,17,1722,,201640061,,0,0,0,13,5,201640001,11,,,,,{"moveSpeed_mul":0},,,,,
201640012,一招杀神,17,1722,,201640062,,0,0,0,13,5,201640001,12,,,,,{"moveSpeed_mul":0},,,,,
201640013,一招杀神,17,1722,,201640063,,0,0,0,13,5,201640001,13,,,,,{"moveSpeed_mul":0},,,,,
201640014,一招杀神,17,1722,,201640064,,0,0,0,13,5,201640001,14,,,,,{"moveSpeed_mul":0},,,,,
201640015,一招杀神,17,1722,,201640065,,0,0,0,13,5,201640001,15,,,,,{"moveSpeed_mul":0},,,,,
201640016,一招杀神,17,1722,,201640066,,0,0,0,13,5,201640001,16,,,,,{"moveSpeed_mul":0},,,,,
201640017,一招杀神,17,1722,,201640067,,0,0,0,13,5,201640001,17,,,,,{"moveSpeed_mul":0},,,,,
201640018,一招杀神,17,1722,,201640068,,0,0,0,13,5,201640001,18,,,,,{"moveSpeed_mul":0},,,,,
201640019,一招杀神,17,1722,,201640069,,0,0,0,13,5,201640001,19,,,,,{"moveSpeed_mul":0},,,,,
201640020,一招杀神,17,1722,,201640070,,0,0,0,13,5,201640001,20,,,,,{"moveSpeed_mul":0},,,,,
201640021,一招杀神,17,1722,,201640071,,0,0,0,13,5,201640001,21,,,,,{"moveSpeed_mul":0},,,,,
201640022,一招杀神,17,1722,,201640072,,0,0,0,13,5,201640001,22,,,,,{"moveSpeed_mul":0},,,,,
201640023,一招杀神,17,1722,,201640073,,0,0,0,13,5,201640001,23,,,,,{"moveSpeed_mul":0},,,,,
201640024,一招杀神,17,1722,,201640074,,0,0,0,13,5,201640001,24,,,,,{"moveSpeed_mul":0},,,,,
201640025,一招杀神,17,1722,,201640075,,0,0,0,13,5,201640001,25,,,,,{"moveSpeed_mul":0},,,,,
201640026,一招杀神,17,1722,,201640076,,0,0,0,13,5,201640001,26,,,,,{"moveSpeed_mul":0},,,,,
201640027,一招杀神,17,1722,,201640077,,0,0,0,13,5,201640001,27,,,,,{"moveSpeed_mul":0},,,,,
201640028,一招杀神,17,1722,,201640078,,0,0,0,13,5,201640001,28,,,,,{"moveSpeed_mul":0},,,,,
201640029,一招杀神,17,1722,,201640079,,0,0,0,13,5,201640001,29,,,,,{"moveSpeed_mul":0},,,,,
201640030,一招杀神,17,1722,,201640080,,0,0,0,13,5,201640001,30,,,,,{"moveSpeed_mul":0},,,,,
201640051,一招杀神Lv.1,1,,,,,0,0,0,1#3,5,201640051,1,0,,,,{"kungFuRate2":100},,,,,
201640052,一招杀神Lv.2,1,,,,,0,0,0,1#3,5,201640051,2,0,,,,{"kungFuRate2":200},,,,,
201640053,一招杀神Lv.3,1,,,,,0,0,0,1#3,5,201640051,3,0,,,,{"kungFuRate2":300},,,,,
201640054,一招杀神Lv.4,1,,,,,0,0,0,1#3,5,201640051,4,0,,,,{"kungFuRate2":400},,,,,
201640055,一招杀神Lv.5,1,,,,,0,0,0,1#3,5,201640051,5,0,,,,{"kungFuRate2":500},,,,,
201640056,一招杀神Lv.6,1,,,,,0,0,0,1#3,5,201640051,6,0,,,,{"kungFuRate2":600},,,,,
201640057,一招杀神Lv.7,1,,,,,0,0,0,1#3,5,201640051,7,0,,,,{"kungFuRate2":700},,,,,
201640058,一招杀神Lv.8,1,,,,,0,0,0,1#3,5,201640051,8,0,,,,{"kungFuRate2":800},,,,,
201640059,一招杀神Lv.9,1,,,,,0,0,0,1#3,5,201640051,9,0,,,,{"kungFuRate2":900},,,,,
201640060,一招杀神Lv.10,1,,,,,0,0,0,1#3,5,201640051,10,0,,,,{"kungFuRate2":1000},,,,,
201640061,一招杀神Lv.11,1,,,,,0,0,0,1#3,5,201640051,11,0,,,,{"kungFuRate2":1100},,,,,
201640062,一招杀神Lv.12,1,,,,,0,0,0,1#3,5,201640051,12,0,,,,{"kungFuRate2":1200},,,,,
201640063,一招杀神Lv.13,1,,,,,0,0,0,1#3,5,201640051,13,0,,,,{"kungFuRate2":1300},,,,,
201640064,一招杀神Lv.14,1,,,,,0,0,0,1#3,5,201640051,14,0,,,,{"kungFuRate2":1400},,,,,
201640065,一招杀神Lv.15,1,,,,,0,0,0,1#3,5,201640051,15,0,,,,{"kungFuRate2":1500},,,,,
201640066,一招杀神Lv.16,1,,,,,0,0,0,1#3,5,201640051,16,0,,,,{"kungFuRate2":1600},,,,,
201640067,一招杀神Lv.17,1,,,,,0,0,0,1#3,5,201640051,17,0,,,,{"kungFuRate2":1700},,,,,
201640068,一招杀神Lv.18,1,,,,,0,0,0,1#3,5,201640051,18,0,,,,{"kungFuRate2":1800},,,,,
201640069,一招杀神Lv.19,1,,,,,0,0,0,1#3,5,201640051,19,0,,,,{"kungFuRate2":1900},,,,,
201640070,一招杀神Lv.20,1,,,,,0,0,0,1#3,5,201640051,20,0,,,,{"kungFuRate2":2000},,,,,
201640071,一招杀神Lv.21,1,,,,,0,0,0,1#3,5,201640051,21,0,,,,{"kungFuRate2":2050},,,,,
201640072,一招杀神Lv.22,1,,,,,0,0,0,1#3,5,201640051,22,0,,,,{"kungFuRate2":2100},,,,,
201640073,一招杀神Lv.23,1,,,,,0,0,0,1#3,5,201640051,23,0,,,,{"kungFuRate2":2150},,,,,
201640074,一招杀神Lv.24,1,,,,,0,0,0,1#3,5,201640051,24,0,,,,{"kungFuRate2":2200},,,,,
201640075,一招杀神Lv.25,1,,,,,0,0,0,1#3,5,201640051,25,0,,,,{"kungFuRate2":2250},,,,,
201640076,一招杀神Lv.26,1,,,,,0,0,0,1#3,5,201640051,26,0,,,,{"kungFuRate2":2280},,,,,
201640077,一招杀神Lv.27,1,,,,,0,0,0,1#3,5,201640051,27,0,,,,{"kungFuRate2":2310},,,,,
201640078,一招杀神Lv.28,1,,,,,0,0,0,1#3,5,201640051,28,0,,,,{"kungFuRate2":2340},,,,,
201640079,一招杀神Lv.29,1,,,,,0,0,0,1#3,5,201640051,29,0,,,,{"kungFuRate2":2370},,,,,
201640080,一招杀神Lv.30,1,,,,,0,0,0,1#3,5,201640051,30,0,,,,{"kungFuRate2":2400},,,,,
201650001,千蛛万手Lv.1,16,1602,500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,1,,,,,{"moveSpeed_mul":0},,,,,
201650002,千蛛万手Lv.2,16,1602,1000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,2,,,,,{"moveSpeed_mul":0},,,,,
201650003,千蛛万手Lv.3,16,1602,1500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,3,,,,,{"moveSpeed_mul":0},,,,,
201650004,千蛛万手Lv.4,16,1602,2000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,4,,,,,{"moveSpeed_mul":0},,,,,
201650005,千蛛万手Lv.5,16,1602,2500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,5,,,,,{"moveSpeed_mul":0},,,,,
201650006,千蛛万手Lv.6,16,1602,3000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,6,,,,,{"moveSpeed_mul":0},,,,,
201650007,千蛛万手Lv.7,16,1602,3500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,7,,,,,{"moveSpeed_mul":0},,,,,
201650008,千蛛万手Lv.8,16,1602,4000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,8,,,,,{"moveSpeed_mul":0},,,,,
201650009,千蛛万手Lv.9,16,1602,4500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,9,,,,,{"moveSpeed_mul":0},,,,,
201650010,千蛛万手Lv.10,16,1602,5000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,10,,,,,{"moveSpeed_mul":0},,,,,
201650011,千蛛万手Lv.11,16,1602,5500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,11,,,,,{"moveSpeed_mul":0},,,,,
201650012,千蛛万手Lv.12,16,1602,6000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,12,,,,,{"moveSpeed_mul":0},,,,,
201650013,千蛛万手Lv.13,16,1602,6500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,13,,,,,{"moveSpeed_mul":0},,,,,
201650014,千蛛万手Lv.14,16,1602,7000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,14,,,,,{"moveSpeed_mul":0},,,,,
201650015,千蛛万手Lv.15,16,1602,7500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,15,,,,,{"moveSpeed_mul":0},,,,,
201650016,千蛛万手Lv.16,16,1602,8000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,16,,,,,{"moveSpeed_mul":0},,,,,
201650017,千蛛万手Lv.17,16,1602,8500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,17,,,,,{"moveSpeed_mul":0},,,,,
201650018,千蛛万手Lv.18,16,1602,9000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,18,,,,,{"moveSpeed_mul":0},,,,,
201650019,千蛛万手Lv.19,16,1602,9500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,19,,,,,{"moveSpeed_mul":0},,,,,
201650020,千蛛万手Lv.20,16,1602,10000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,20,,,,,{"moveSpeed_mul":0},,,,,
201650021,千蛛万手Lv.21,16,1602,10300,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,21,,,,,{"moveSpeed_mul":0},,,,,
201650022,千蛛万手Lv.22,16,1602,10600,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,22,,,,,{"moveSpeed_mul":0},,,,,
201650023,千蛛万手Lv.23,16,1602,10900,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,23,,,,,{"moveSpeed_mul":0},,,,,
201650024,千蛛万手Lv.24,16,1602,11200,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,24,,,,,{"moveSpeed_mul":0},,,,,
201650025,千蛛万手Lv.25,16,1602,11500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,25,,,,,{"moveSpeed_mul":0},,,,,
201650026,千蛛万手Lv.26,16,1602,11800,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,26,,,,,{"moveSpeed_mul":0},,,,,
201650027,千蛛万手Lv.27,16,1602,12100,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,27,,,,,{"moveSpeed_mul":0},,,,,
201650028,千蛛万手Lv.28,16,1602,12400,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,28,,,,,{"moveSpeed_mul":0},,,,,
201650029,千蛛万手Lv.29,16,1602,12700,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,29,,,,,{"moveSpeed_mul":0},,,,,
201650030,千蛛万手Lv.30,16,1602,13000,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,30,,,,,{"moveSpeed_mul":0},,,,,
201650031,千蛛万手Lv.31,16,1602,13300,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,31,,,,,{"moveSpeed_mul":0},,,,,
201650032,千蛛万手Lv.32,16,1602,13600,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,32,,,,,{"moveSpeed_mul":0},,,,,
201650033,千蛛万手Lv.33,16,1602,13900,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,33,,,,,{"moveSpeed_mul":0},,,,,
201650034,千蛛万手Lv.34,16,1602,14200,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,34,,,,,{"moveSpeed_mul":0},,,,,
201650035,千蛛万手Lv.35,16,1602,14500,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,35,,,,,{"moveSpeed_mul":0},,,,,
201650036,千蛛万手Lv.36,16,1602,14800,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,36,,,,,{"moveSpeed_mul":0},,,,,
201650037,千蛛万手Lv.37,16,1602,15100,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,37,,,,,{"moveSpeed_mul":0},,,,,
201650038,千蛛万手Lv.38,16,1602,15400,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,38,,,,,{"moveSpeed_mul":0},,,,,
201650039,千蛛万手Lv.39,16,1602,15700,202001701#202001702#202001703#202001704#202001705#202001706#202001707#202001708#202001709#202001710#202001711#202001712#202001801#202001802#202001803#202001804#202001805#202001806#202001807#202001808#202001809#202001810#202001811#202001812#202001901#202001902#202001903#202001904#202001905#202001906#202001907#202001908#202001909#202001910#202001911#202001912#202002001#202002002#202002003#202002004#202002005#202002006#202002007#202002008#202002009#202002010#202002011#202002012,,0,0,0,13,5,201650001,39,,,,,{"moveSpeed_mul":0},,,,,
